        MB  Type                  Source      Name
      0.34  Font                  object      LiberationSans
      0.33  AudioClip             m_Resource  68_Player_31
      0.33  Texture2D             inline      Texture_TopographicGame_Indicator_Emission
      0.33  Texture2D             inline      Texture_Rickety Hoverboard_Metallic
      0.33  Texture2D             inline      Texture_Segmented Soil Key_Normal
      0.33  Texture2D             inline      Texture_SoilKey_Emission
      0.33  Texture2D             inline      DANI_Vector
      0.33  Texture2D             inline      Texture_SoilKey_Diffuse
      0.33  Texture2D             inline      Texture_TopographicGame_Indicator_Normal
      0.33  Texture2D             inline      Texture_Segmented Soil Key_Albedo
      0.33  Texture2D             inline      Texture_Rickety Hoverboard_Normal
      0.33  Texture2D             inline      Drone_Normal
      0.33  Texture2D             inline      Waves_LoRes
      0.33  Texture2D             inline      Texture_SoilKey_Normal
      0.33  Texture2D             inline      EmojiOne
      0.33  AudioClip             m_Resource  68_Player_31
      0.33  AnimationClip         object      Player_GA1_1_AwkwardIdle
      0.33  Texture2D             inline      Texture_Eyelid_6_Neutral
      0.33  Texture2D             inline      Texture_Eyelid_3_Neutral
      0.33  Texture2D             inline      Texture_Eyelid_2_Neutral
      0.33  Texture2D             inline      Texture_Eyelid_5_Neutral
      0.33  Texture2D             inline      Texture_Eyelid_1_Neutral
      0.33  Texture2D             inline      Texture_Eyelid_4_Neutral
      0.33  AnimationClip         object      Animation Clip_NSP_02_intro
      0.33  AnimationClip         object      Player_GA2_1_TenseIdle
      0.33  Texture2D             inline      UI_Map_U2_Watershed_West
      0.32  AudioClip             m_Resource  68_Player_31
      0.32  AudioClip             m_Resource  Animation Clip_dark-ui power on off dark 02
      0.32  AudioClip             m_Resource  68_Player_31
      0.32  AudioClip             m_Resource  68_Player_31
      0.32  AudioClip             m_Resource  68_DANI_28
      0.32  Texture2D             inline      UI_SettingsMainMenu_ItemBG
      0.31  Texture2D             inline      UI_Map_U2_Watershed_East
      0.31  Texture2D             inline      UI_Classifier_BG
      0.31  Texture2D             inline      Texture_Plaster_Normal
      0.30  AnimationClip         object      Animation Clip_Aryn_idle01
      0.30  AudioClip             m_Resource  68_DANI_34
      0.30  AnimationClip         object      Animation Clip_GA_Tera_idle01
      0.29  AnimationClip         object      Animation Clip_GA_Tera_idle02
      0.29  AudioClip             m_Resource  68_DANI_26
      0.29  Texture2D             inline      UI_ObjectivesButton_Active
      0.29  Texture2D             inline      UI_ObjectivesButton_Inactive
      0.28  Texture2D             inline      Texture_MessyAnderson_Body_Diffuse
      0.27  Texture2D             inline      TextureWork_DefaultMaterial_Normal
      0.27  Texture2D             inline      UI_ArgumentsButton_Inactive
      0.27  AudioClip             m_Resource  20_Toppo_77
      0.27  AudioClip             m_Resource  Animation Clip_DEFECT_Noise_Hum_Buzz_4
      0.27  AudioClip             m_Resource  Animation Clip_Toppo_02_Radio
      0.27  AudioClip             m_Resource  Animation Clip_electric_hum_buzz_01
      0.27  AudioClip             m_Resource  Animation Clip_Aryn_02_ROI
      0.27  AudioClip             m_Resource  Animation Clip_Toppo_01_Mission
      0.27  Texture2D             inline      UI_Argumentation_EvidenceHolder_Panel
      0.27  AudioClip             m_Resource  Animation Clip_Anderson_03_Useful
      0.27  Mesh                  mesh-data   Combined Mesh (root: scene) 7
      0.27  AudioClip             m_Resource  18_DANI_205
      0.27  Shader                object      
      0.26  Texture2D             inline      AreaTex
      0.25  Texture2D             inline      Texture_MainCampTableClutter_Diffuse
      0.25  AnimationClip         object      Animation Clip_Aryn_idle02
      0.25  Mesh                  mesh-data   Combined Mesh (root: scene) 8
      0.25  AudioClip             m_Resource  Animation Clip_Aryn_01_Change
      0.25  Texture2D             inline      Atlas_AlienProps_YellowRegion_Emissive
      0.25  Texture2D             inline      UI_MapButton_Active
      0.25  Texture2D             inline      UI_MapButton_Inactive
      0.25  Texture2D             inline      Texture_AlienDungeon_HexTEMPNormal
      0.25  Texture2D             inline      Texture_TopographicGame_Indicator_Diffuse
      0.25  Texture2D             inline      Texture_Segmented Soil Key_Mask
